"REF_DATE","GEO","DGUID","Labour force characteristics","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2011-06","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.9","","","","1"
"2011-07","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.9","","","","1"
"2011-08","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.9","","","","1"
"2011-09","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.9","","","","1"
"2011-10","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.9","","","","1"
"2011-11","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.9","","","","1"
"2011-12","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.9","","","","1"
"2012-01","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.9","","","","1"
"2012-02","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.9","","","","1"
"2012-03","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.9","","","","1"
"2012-04","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.8","","","","1"
"2012-05","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.8","","","","1"
"2012-06","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.9","","","","1"
"2012-07","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.9","","","","1"
"2012-08","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.9","","","","1"
"2012-09","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.9","","","","1"
"2012-10","North Coast and Nechako, British Columbia","","Population","Estimate","Persons","249","thousands","3","v1235065451","78.1.1","67.9","","","","1"
